time,EMG1,EMG2
0.2495,-0.0698853,-0.0411987
0.25,-0.0827026,-0.0534058
0.2505,-0.0869751,-0.0564575
0.251,-0.0836182,-0.0387573
0.2515,-0.0747681,-0.0216675
0.252,-0.0485229,-0.0860596
0.2525,-0.039978,-0.279236
0.253,-0.0500488,-0.235596
0.2535,-0.0515747,-0.0790405
0.254,-0.0360107,-0.0231934
0.2545,-0.0112915,0.0317383
0.255,0.015564,0.144958
0.2555,0.0262451,0.0473022
0.256,0.0180054,-0.0906372
0.2565,0.0302124,-0.0906372
0.257,0.0653076,-0.0524902
0.2575,0.0970459,-0.0491333
0.258,0.124207,-0.0613403
0.2585,0.14679,0.0396729
0.259,0.163574,0.177002
0.2595,0.169067,0.276184
0.26,0.171814,0.333252
0.2605,0.135193,0.346069
0.261,0.0671387,0.274963
0.2615,-0.0100708,0.072937
0.262,-0.0671387,0.0628662
0.2625,-0.0939941,0.127869
0.263,-0.100098,0.164795
0.2635,-0.0949097,0.194702
0.264,-0.101318,0.131226
0.2645,-0.138245,-0.0912476
0.265,-0.160522,-0.405884
0.2655,-0.13092,-0.53772
0.266,-0.0775146,-0.430603
0.2665,-0.0512695,-0.336914
0.267,-0.0442505,-0.369568
0.2675,-0.032959,-0.256958
0.268,-0.00549316,-0.0302124
0.2685,0.017395,0.109863
0.269,0.0259399,0.178223
0.2695,0.0354004,0.172119
0.27,0.0527954,0.106506
0.2705,0.0845337,-0.00793457
0.271,0.113525,-0.12085
0.2715,0.115051,-0.226135
0.272,0.0756836,-0.198364
0.2725,0.0344849,-0.0283813
0.273,0.0198364,-0.0332642
0.2735,0.0372314,-0.295715
0.274,0.0704956,-0.386047
0.2745,0.0918579,-0.181885
0.275,0.0802612,0.0558472
0.2755,0.0457764,0.193787
0.276,0.0131226,0.229797
0.2765,-0.0228882,0.267334
0.277,-0.043335,0.291138
0.2775,-0.0534058,0.230103
0.278,-0.0463867,0.0970459
0.2785,-0.0540161,0.0704956
0.279,-0.0735474,0.130615
0.2795,-0.0735474,0.15625
0.28,-0.0476074,0.179138
0.2805,-0.0201416,0.105286
0.281,-0.0149536,-0.0338745
0.2815,-0.00549316,-0.174866
0.282,-0.00244141,-0.32074
0.2825,-0.0186157,-0.523682
0.283,-0.0335693,-0.559998
0.2835,-0.0540161,-0.379639
0.284,-0.0683594,-0.100098
0.2845,-0.0701904,0.141907
0.285,-0.0610352,0.202637
0.2855,-0.03479,0.170288
0.286,0.00427246,0.166626
0.2865,0.0521851,0.219727
0.287,0.0662231,0.281677
0.2875,0.0558472,0.209961
0.288,0.0540161,0.118103
0.2885,0.0509644,0.0897217
0.289,0.0357056,0.0888062
0.2895,0.0317383,0.0949097
0.29,0.0723267,0.0958252
0.2905,0.106201,0.0909424
0.291,0.108948,0.0793457
0.2915,0.0881958,0.0744629
0.292,0.0506592,0.0747681
0.2925,0.0134277,0.0491333
0.293,-0.0198364,0.0161743
0.2935,-0.0747681,0.00671387
0.294,-0.116882,0.027771
0.2945,-0.133667,0.0335693
0.295,-0.115051,-0.000915527
0.2955,-0.090332,-0.0363159
0.296,-0.0421143,-0.0280762
0.2965,-0.012207,-0.0088501
0.297,0.00183105,-0.00762939
0.2975,-0.00762939,-0.027771
0.298,-0.00518799,-0.057373
0.2985,-0.0088501,-0.0482178
0.299,-0.0262451,0.0222778
0.2995,-0.0241089,0.0701904
0.3,-0.0140381,0.0192261
0.3005,0.00640869,-0.0231934
0.301,0.0259399,-0.0604248
0.3015,0.0512695,-0.0836182
0.302,0.0942993,-0.0598145
0.3025,0.124817,-0.0311279
0.303,0.139465,-0.0250244
0.3035,0.150452,-0.055542
0.304,0.116882,-0.0170898
0.3045,0.0585938,-0.14679
0.305,0.00427246,-0.256348
0.3055,-0.0311279,-0.0909424
0.306,-0.0344849,-0.0128174
0.3065,-0.0387573,-0.0363159
0.307,-0.0558472,-0.0619507
0.3075,-0.0811768,-0.0454712
0.308,-0.0814819,-0.0213623
0.3085,-0.0546265,-0.00793457
0.309,-0.0302124,0.00244141
0.3095,-0.0265503,0.0088501
0.31,-0.0299072,0.00640869
0.3105,-0.0305176,0.0192261
0.311,-0.0341797,0.0292969
0.3115,-0.0479126,0.0701904
0.312,-0.0799561,0.123291
0.3125,-0.0921631,0.129395
0.313,-0.0866699,0.112
0.3135,-0.0744629,0.0942993
0.314,-0.0592041,0.115662
0.3145,-0.0521851,0.15564
0.315,-0.0543213,0.193481
0.3155,-0.0540161,0.152283
0.316,-0.0350952,0.137634
0.3165,-0.0234985,0.11322
0.317,0.00335693,-0.0427246
0.3175,0.0390625,-0.170593
0.318,0.0466919,-0.187988
0.3185,0.062561,0.00305176
0.319,0.0732422,0.232239
0.3195,0.085144,0.169373
0.32,0.0820923,-0.117188
0.3205,0.0454712,-0.192261
0.321,0.027771,-0.281982
0.3215,0.0274658,-0.439148
0.322,0.00976563,-0.288696
0.3225,-0.0170898,-0.0985718
0.323,-0.017395,-0.00213623
0.3235,0.0158691,0.0219727
0.324,0.0534058,-0.00579834
0.3245,0.0900269,-0.0866699
0.325,0.0976563,-0.0836182
0.3255,0.0683594,-0.0558472
0.326,0.0323486,-0.00457764
0.3265,0.0161743,0.0375366
0.327,0.0158691,0.088501
